title,beds,bath,sqft,price,address,city,state,lat,lon,date scraped,id,url
Condo for sale,Studio,1,460,"$329,000 ",860 Turquoise St UNIT 328,SAN DIEGO,CA,32809137,-117258185,1/19/2019,63477819,https://www.zillow.com/homedetails/860-Turquoise-St-UNIT-328-San-Diego-CA-92109/63477819_zpid/
Condo for sale,Studio,1,504,"$335,000 ",8680 Via Mallorca APT C,LA JOLLA,CA,32863357,-117233833,1/19/2019,16841369,https://www.zillow.com/homedetails/8680-Via-Mallorca-APT-C-La-Jolla-CA-92037/16841369_zpid/
Condo for sale,Studio,1,504,"$352,500 ",3128 Via Alicante UNIT X,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841556,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-X-La-Jolla-CA-92037/16841556_zpid/
Condo for sale,Studio,1,504,"$352,500 ",3128 Via Alicante UNIT V,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841544,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-V-La-Jolla-CA-92037/16841544_zpid/
Auction,1,1,691,$354K,3110 Via Alicante UNIT L,LA JOLLA,CA,32862749,-117234888,1/19/2019,16841581,https://www.zillow.com/homedetails/3110-Via-Alicante-UNIT-L-La-Jolla-CA-92037/16841581_zpid/
Condo for sale,1,1,848,"$414,000 ",2600 Torrey Pines Rd APT A23,LA JOLLA,CA,32851779,-117246722,1/19/2019,16839444,https://www.zillow.com/homedetails/2600-Torrey-Pines-Rd-APT-A23-La-Jolla-CA-92037/16839444_zpid/
Townhouse for sale,1,1,820,"$415,000 ",8282 Gilman Dr UNIT 41,LA JOLLA,CA,32856074,-117237358,1/19/2019,98378748,https://www.zillow.com/homedetails/8282-Gilman-Dr-UNIT-41-La-Jolla-CA-92037/98378748_zpid/
Condo for sale,1,1,691,"$425,000 ",3116 Via Alicante UNIT I,LA JOLLA,CA,32861694,-117234533,1/19/2019,16841564,https://www.zillow.com/homedetails/3116-Via-Alicante-UNIT-I-La-Jolla-CA-92037/16841564_zpid/
Condo for sale,1,1,691,"$425,000 ",8524 Via Mallorca UNIT E,LA JOLLA,CA,32862735,-117233810,1/19/2019,16841427,https://www.zillow.com/homedetails/8524-Via-Mallorca-UNIT-E-La-Jolla-CA-92037/16841427_zpid/
Condo for sale,1,1,691,"$425,000 ",8509 Villa La Jolla Dr APT H,LA JOLLA,CA,32862855,-117235689,1/19/2019,16841671,https://www.zillow.com/homedetails/8509-Villa-La-Jolla-Dr-APT-H-La-Jolla-CA-92037/16841671_zpid/
