Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Gym Distance,Gym Duration,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
Condominium,0,1.0,504,435,"$335,000",8680 Via Mallorca APT C,LA JOLLA,CA,32.863357,-117.233833,1.8192610862252643,4.5 mi,14 mins,1972,01/30/2019,-24129,06/19/2015,269000,338005,2019-01-31,16841369,https://www.zillow.com/homedetails/8680-Via-Mallorca-APT-C-La-Jolla-CA-92037/16841369_zpid/
Condominium,0,1.0,504,196571,"$352,500",3128 Via Alicante UNIT X,LA JOLLA,CA,32.862749,-117.234888,1.745825378100308,4.5 mi,14 mins,1971,01/30/2019,-890,,,344112,2019-01-31,16841556,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-X-La-Jolla-CA-92037/16841556_zpid/
Condominium,0,1.0,504,196571,"$352,500",3128 Via Alicante UNIT V,LA JOLLA,CA,32.862749,-117.234888,1.745825378100308,4.5 mi,14 mins,1971,01/30/2019,-863,,,344112,2019-01-31,16841544,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-V-La-Jolla-CA-92037/16841544_zpid/
Condominium,1,1.0,691,,$355K,3110 Via Alicante UNIT L,LA JOLLA,CA,32.862749,-117.234888,1.745825378100308,4.5 mi,14 mins,1972,01/30/2019,-5877,11/21/2005,330000,403451,2019-01-31,16841581,https://www.zillow.com/homedetails/3110-Via-Alicante-UNIT-L-La-Jolla-CA-92037/16841581_zpid/
Condominium,1,1.0,848,,"$399,000",2600 Torrey Pines Rd APT A23,LA JOLLA,CA,32.851779,-117.246722,0.885685370228243,1.9 mi,7 mins,1966,01/30/2019,-29291,,,416915,2019-01-31,16839444,https://www.zillow.com/homedetails/2600-Torrey-Pines-Rd-APT-A23-La-Jolla-CA-92037/16839444_zpid/
Townhouse,1,1.0,820,174240,"$415,000",8282 Gilman Dr UNIT 41,LA JOLLA,CA,32.856074,-117.237358,1.4597630197888236,6.4 mi,13 mins,1979,01/30/2019,150,,,411672,2019-01-31,98378748,https://www.zillow.com/homedetails/8282-Gilman-Dr-UNIT-41-La-Jolla-CA-92037/98378748_zpid/
Condominium,1,1.0,691,78389,"$418,900",8528 Via Mallorca UNIT D,LA JOLLA,CA,32.862527,-117.234311,1.769557932901842,4.6 mi,13 mins,1972,01/30/2019,16695,06/14/2000,143000,413760,2019-01-31,16841422,https://www.zillow.com/homedetails/8528-Via-Mallorca-UNIT-D-La-Jolla-CA-92037/16841422_zpid/
Condominium,1,1.0,691,,"$419,000",8545 Villa La Jolla Dr APT A,LA JOLLA,CA,32.863991,-117.235124,1.7727110268691058,4.3 mi,13 mins,1971,01/30/2019,-10897,,,406287,2019-01-31,16841643,https://www.zillow.com/homedetails/8545-Villa-La-Jolla-Dr-APT-A-La-Jolla-CA-92037/16841643_zpid/
Condominium,1,1.0,691,,"$425,000",8509 Villa La Jolla Dr APT H,LA JOLLA,CA,32.862855,-117.235689,1.707338634201421,4.3 mi,12 mins,1971,01/30/2019,-1288,,,416139,2019-01-31,16841671,https://www.zillow.com/homedetails/8509-Villa-La-Jolla-Dr-APT-H-La-Jolla-CA-92037/16841671_zpid/
Condominium,1,1.0,691,196571,"$425,000",3116 Via Alicante UNIT I,LA JOLLA,CA,32.861694,-117.234533,1.734334603698487,4.5 mi,13 mins,1971,01/30/2019,-496,,,415070,2019-01-31,16841564,https://www.zillow.com/homedetails/3116-Via-Alicante-UNIT-I-La-Jolla-CA-92037/16841564_zpid/
