Property Type,Beds,Bath,House Sqft,Lot Sqft,Price,Address,City,State,Lat,Lon,Ocean Distance,Year Built,Last Updated,Value Change Last 30 Days,Last Sold Date,Last Sold Price,Zestimate,Date Scraped,Id,Url
Condominium,0,1,460,,"$329,000 ",860 Turquoise St UNIT 328,SAN DIEGO,CA,32.809137,-117.258185,2.03590762,1980,1/20/2019,2943,2/24/2005,310000,410175,1/21/2019,63477819,https://www.zillow.com/homedetails/860-Turquoise-St-UNIT-328-San-Diego-CA-92109/63477819_zpid/
Condominium,0,1,504,435,"$335,000 ",8680 Via Mallorca APT C,LA JOLLA,CA,32.863357,-117.233833,1.819261086,1972,1/20/2019,-13334,6/19/2015,269000,347290,1/21/2019,16841369,https://www.zillow.com/homedetails/8680-Via-Mallorca-APT-C-La-Jolla-CA-92037/16841369_zpid/
Condominium,0,1,504,196571,"$352,500 ",3128 Via Alicante UNIT X,LA JOLLA,CA,32.862749,-117.234888,1.745825378,1971,1/20/2019,959,,,344854,1/21/2019,16841556,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-X-La-Jolla-CA-92037/16841556_zpid/
Condominium,0,1,504,196571,"$352,500 ",3128 Via Alicante UNIT V,LA JOLLA,CA,32.862749,-117.234888,1.745825378,1971,1/20/2019,1066,,,344854,1/21/2019,16841544,https://www.zillow.com/homedetails/3128-Via-Alicante-UNIT-V-La-Jolla-CA-92037/16841544_zpid/
Condominium,1,1,691,,$354K,3110 Via Alicante UNIT L,LA JOLLA,CA,32.862749,-117.234888,1.745825378,1972,1/20/2019,-7153,11/21/2005,330000,402612,1/21/2019,16841581,https://www.zillow.com/homedetails/3110-Via-Alicante-UNIT-L-La-Jolla-CA-92037/16841581_zpid/
Condominium,1,1,848,,"$414,000 ",2600 Torrey Pines Rd APT A23,LA JOLLA,CA,32.851779,-117.246722,0.88568537,1966,1/20/2019,-20092,,,426787,1/21/2019,16839444,https://www.zillow.com/homedetails/2600-Torrey-Pines-Rd-APT-A23-La-Jolla-CA-92037/16839444_zpid/
Townhouse,1,1,820,174240,"$415,000 ",8282 Gilman Dr UNIT 41,LA JOLLA,CA,32.856074,-117.237358,1.45976302,1979,1/20/2019,1644,,,412864,1/21/2019,98378748,https://www.zillow.com/homedetails/8282-Gilman-Dr-UNIT-41-La-Jolla-CA-92037/98378748_zpid/
Condominium,1,1,691,78389,"$425,000 ",8524 Via Mallorca UNIT E,LA JOLLA,CA,32.862735,-117.23381,1.801983373,1971,1/20/2019,5089,,,416167,1/21/2019,16841427,https://www.zillow.com/homedetails/8524-Via-Mallorca-UNIT-E-La-Jolla-CA-92037/16841427_zpid/
Condominium,1,1,691,89756,"$425,000 ",8604 Via Mallorca APT I,LA JOLLA,CA,32.863357,-117.233833,1.819261086,1971,1/20/2019,4643,,,417112,1/21/2019,16841374,https://www.zillow.com/homedetails/8604-Via-Mallorca-APT-I-La-Jolla-CA-92037/16841374_zpid/
Condominium,1,1,691,196571,"$425,000 ",3116 Via Alicante UNIT I,LA JOLLA,CA,32.861694,-117.234533,1.734334604,1971,1/20/2019,-620,,,414588,1/21/2019,16841564,https://www.zillow.com/homedetails/3116-Via-Alicante-UNIT-I-La-Jolla-CA-92037/16841564_zpid/
Condominium,1,1,691,,"$425,000 ",8509 Villa La Jolla Dr APT H,LA JOLLA,CA,32.862855,-117.235689,1.707338634,1971,1/20/2019,-656,,,416615,1/21/2019,16841671,https://www.zillow.com/homedetails/8509-Villa-La-Jolla-Dr-APT-H-La-Jolla-CA-92037/16841671_zpid/
