title,bedrooms,bathrooms,sqft,price,bedrooms 2,price 2,address,city,state,lat,lon,id,date scraped,url
Condo for rent,2,2,"1,440","$3,250",,,2420 Torrey Pines Rd, La Jolla, CA,32851309,-117250072,16839413,2019-01-20,https://www.zillow.com/homedetails/2420-Torrey-Pines-Rd-La-Jolla-CA-92037/16839413_zpid/
Apartment for rent,2,2,990,"$3,300",,,6455 La Jolla Blvd UNIT 206, La Jolla, CA,32826197,-117276568,16850757,2019-01-20,https://www.zillow.com/homedetails/6455-La-Jolla-Blvd-UNIT-206-La-Jolla-CA-92037/16850757_zpid/
For Rent,3,,,"$3,300+",,,8643 Via Mallorca, La Jolla, CA,32862336,-117231333,32.862336--117.231333,2019-01-20,"https://www.zillow.com/b/8643-Via-Mallorca-LA-JOLLA-CA/32.862336,-117.231333_ll/"
Townhouse for rent,3,2.5,"1,480","$3,300",,,3268 Caminito Ameca, La Jolla, CA,32855778,-117234589,16840361,2019-01-20,https://www.zillow.com/homedetails/3268-Caminito-Ameca-La-Jolla-CA-92037/16840361_zpid/
Apartment for rent,2,2,770,"$3,395",,,407 Bird Rock Ave APT 3F, La Jolla, CA,32815509,-117270229,2119497571,2019-01-20,https://www.zillow.com/homedetails/407-Bird-Rock-Ave-APT-3F-La-Jolla-CA-92037/2119497571_zpid/
Apartment for rent,2,2,"1,344","$3,425",,,2500 Torrey Pines Rd UNIT 801, La Jolla, CA,32851453,-117249634,52513909,2019-01-20,https://www.zillow.com/homedetails/2500-Torrey-Pines-Rd-UNIT-801-La-Jolla-CA-92037/52513909_zpid/
For Rent,3,,,"$3,495+",,,3264 Caminito Eastbluff, La Jolla, CA,32858648,-117232166,1003998899,2019-01-20,https://www.zillow.com/b/3264-caminito-eastbluff-la-jolla-ca-5Y9rdS/
Apartment for rent,2,2,"1,305","$3,500",,,8111 Camino Del Oro APT O, La Jolla, CA,32854591,-117257533,2090156113,2019-01-20,https://www.zillow.com/homedetails/8111-Camino-Del-Oro-APT-O-La-Jolla-CA-92037/2090156113_zpid/
220 Coast,2,,,"$3,500+",,,220 Coast Blvd, La Jolla, CA,32839776,-117281614,32.839776--117.281614,2019-01-20,"https://www.zillow.com/b/220-Coast-LA-JOLLA-CA/32.839776,-117.281614_ll/"
For Rent,2,,,"$3,750+",3,"$3,500",2130 Vallecitos, La Jolla, CA,32854660,-117255918,32.85466--117.255918,2019-01-20,"https://www.zillow.com/b/2130-Vallecitos-LA-JOLLA-CA/32.85466,-117.255918_ll/"
Apartment for rent,3,2,"1,426","$3,500",,,8870 Villa La Jolla Dr UNIT 105, La Jolla, CA,32869813,-117235554,16835933,2019-01-20,https://www.zillow.com/homedetails/8870-Villa-La-Jolla-Dr-UNIT-105-La-Jolla-CA-92037/16835933_zpid/
